,text,label,relations,len
348,"Sandwiched between Poland and Lithuania, Russian exclave is a Russian exclave that was captured by Soviet troops from Nazi Germany in 1945 and become Soviet territory as a result of the Potsdam Agreement.",<triplet> Soviet troops <subj> Nazi Germany <obj> Fight,['Fight'],1
349,"The post Poland considers “fortifications” on border with Russian exclave, official says appeared first on Egypt Independent.",<triplet>  Polan <subj>  Russian exclav <obj> Exhibit Military Posture <triplet>  officia <subj>  Polan <obj> Make Public Statement <triplet>  officia <subj>  Russian exclav <obj> Make Public Statement,"['Exhibit Military Posture', 'Make Public Statement', 'Make Public Statement']",3
350,Russia undertakes nuclear drills as fighting heavy near Bakhmut.,<triplet> Russia <subj> Bakhmut <obj> Exhibit Military Posture,['Exhibit Military Posture'],1
351,"Russian President Vladimir Putin surveyed the drills carried out by Russian President Vladimir Putin's nuclear-capable forces as Moscow persisted in claiming, without offering evidence, that Kyiv was developing a ""dirty bomb.""",<triplet> Russian President Vladimir Putin's nuclear-capable forces <subj> Kyiv <obj> Exhibit Military Posture <triplet> Russian President Vladimir Putin <subj> Russian President Vladimir Putin's nuclear-capable forces <obj> Investigate <triplet> Moscow <subj> Kyiv <obj> Make Public Statement,"['Exhibit Military Posture', 'Investigate', 'Make Public Statement']",3
352,"Iran security forces opened fire on protesters who massed in thousands's thousands Wednesday in Mahsa Amini's hometown to mark 40 days since Mahsa Amini's death, according to a rights group and verified videos.",<triplet> Iran security forces <subj> protesters <obj> Fight <triplet> a rights group <subj> Iran security forces <obj> Make Public Statement <triplet> a rights group <subj> protesters <obj> Make Public Statement,"['Fight', 'Make Public Statement', 'Make Public Statement']",3
353,Adidas cuts ties with Kanye West over anti-Semitic remarks.,<triplet> Adidas <subj> Kanye West <obj> Reduce Relations,['Reduce Relations'],1
354,"Recent comments by Kanye West were ""unacceptable, hateful and dangerous,"" Adidas said in a statement.",<triplet> Adidas <subj> Kanye West <obj> Disapprove,['Disapprove'],1
355,Zara-owner Inditex to sell Russian stores.,<triplet> Zara-owner Inditex <subj> Russian stores <obj> Reduce Relations,['Reduce Relations'],1
356,Cape Town Mayor Geordin Hill-Lewis had written to International Relations Minister Naledi Pandor about Cape Town Mayor Geordin Hill-Lewis's intention to block superyacht owned by Russian tycoon.,<triplet> Cape Town Mayor Geordin Hill-Lewis <subj> International Relations Minister Naledi Pandor <obj> Make Public Statement <triplet> Cape Town Mayor Geordin Hill-Lewis <subj> Russian tycoon <obj> Disapprove,"['Make Public Statement', 'Disapprove']",2
357,US says Hong Kong risks reputation over yacht linked to Putin ally.,<triplet> US <subj> Hong Kong <obj> Make Public Statement <triplet> US <subj> Putin ally <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
358,"Britain briefly celebrated the success of Rishi Sunak, Britain's first prime minister of Asian heritage, but must now face up to Britain's dire economic circumstances.",<triplet> Britain <subj> Rishi Sunak <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
359,"Donald Trump has previously said Donald Trump would wait until after the November 8 midterms to make an announcement, even in the face of Donald Trump's many legal woes.",<triplet> Donald Trump <subj> Donald Trump <obj> Make Public Statement,['Make Public Statement'],1
360,John Fetterman and Mehmet Oz clash over abortion in midterm debate.,<triplet> John Fetterman <subj> Mehmet Oz <obj> Disapprove,['Disapprove'],1
361,John Fetterman and Mehmet Oz clash in midterm debate,<triplet> John Fetterman <subj> Mehmet Oz <obj> Disapprove,['Disapprove'],1
362,"‘Freedom, Freedom, Freedom’: Protests surge in Iran as Iran claims shrine attack. shrine attack took place on the same day that Iranian security forces opened fire at mourners who gathered in Mahsa Amini’s Kurdish home town, according to a witness.",<triplet> Iranian security forces <subj> mourners <obj> Fight <triplet> Iran <subj> shrine attack <obj> Make Public Statement <triplet> Protests <subj> Iran <obj> Protest,"['Fight', 'Make Public Statement', 'Protest']",3
363,US police on hunt for violent rapist.,<triplet> US police <subj> violent rapist <obj> Investigate,['Investigate'],1
364,"A woman was beaten and a violent and shocking crime inside A woman's home in a violent and shocking crime, US police say.",<triplet> US police <subj> A woman <obj> Make Public Statement,['Make Public Statement'],1
365,‘There are no untouchables’: Vladimir Putin’s socialite ‘god-daughter’ flees to Lithuania.,<triplet> Lithuania <subj> Vladimir Putin’s socialite ‘god-daughter’ <obj> Disapprove,['Disapprove'],1
366,"Vladimir Putin’s socialite ‘god-daughter’ tricked security agents by booking bogus flights and was on a plane to Lithuania, via Belarus, by the time security agents had arrived at Vladimir Putin’s socialite ‘god-daughter’'s Moscow flat.",<triplet> security agents <subj> Vladimir Putin’s socialite ‘god-daughter’'s Moscow flat <obj> Investigate,['Investigate'],1
367,Vladimir Putin monitored the drills of Vladimir Putin's strategic nuclear forces which involved multiple practice launches of ballistic and cruise missiles.,<triplet> Vladimir Putin <subj> Vladimir Putin's strategic nuclear forces <obj> Investigate,['Investigate'],1
369,Gay rights activist has criticised UK minister’s for saying gay people attending the FIFA World Cup should show “compromise” in Qatar.,<triplet> Gay rights activist <subj> UK minister <obj> Disapprove <triplet> UK minister <subj> gay people <obj> Make Public Statement <triplet> UK minister <subj> Qatar <obj> Make Public Statement,"['Disapprove', 'Make Public Statement', 'Make Public Statement']",3
371,New UK PM Rishi Sunak says the country faces 'a profound economic crisis' and warns of tough times ahead.,<triplet> New UK PM Rishi Sunak <subj> country <obj> Make Public Statement,['Make Public Statement'],1
372,NZ influencers released after being detained for weeks in Iran.,<triplet> Iran <subj> NZ influencers <obj> Yield,['Yield'],1
373,"In NZ influencers's last post before being detained, Bridget Thackwray spoke about being asked to dress more modestly and asked Bridget Thackwray's husband for a kiss while driving - a public display of affection against local laws.",<triplet> Bridget Thackwray <subj> local laws <obj> Reject <triplet> Bridget Thackwray's husband <subj> local laws <obj> Reject,"['Reject', 'Reject']",2
374,A number of top executives are reportedly ousted as Elon Musk acquires Twitter.,<triplet> Elon Musk <subj> top executives <obj> Reduce Relations,['Reduce Relations'],1
375,Ukraine war: Russia deploys dozens of drones in two days - Zelensky.,<triplet> Russia <subj> Zelensky <obj> Fight,['Fight'],1
376,China Covid: Millions back in lockdown as Beijing doubles down on zero-Covid.,<triplet> Beijing <subj> Millions <obj> Coerce,['Coerce'],1
377,Amnesty International says at least eight people have died amid anti-government protests across Iran.,<triplet> anti-government protests <subj> Iran <obj> Protest <triplet> Amnesty International <subj> eight people <obj> Make Public Statement <triplet> Amnesty International <subj> anti-government protests <obj> Make Public Statement,"['Protest', 'Make Public Statement', 'Make Public Statement']",3
378,Spanish fan detained in Iran while hiking to World Cup.,<triplet> Iran <subj> Spanish fan <obj> Coerce,['Coerce'],1
379,"Spanish fan was hiking from Madrid to Qatar, but is now believed to be in a Tehran jail.",<triplet> Tehran jail <subj> Spanish fan <obj> Coerce,['Coerce'],1
380,"Russia's president says the West is unable to stay in charge, but is ""desperately trying"" to cling on.",<triplet> Russia's president <subj> the West <obj> Make Public Statement,['Make Public Statement'],1
381,Videos emerge of rare protests in Tibet.,<triplet> rare protests <subj> Tibet <obj> Protest,['Protest'],1
382,Clips on social media show hundreds protesting in Tibet.,<triplet> hundreds <subj> Tibet <obj> Protest,['Protest'],1
384,A controversial law preventing sharing information about gay people with children is set to apply to all.,<triplet> A controversial law <subj> gay people <obj> Coerce,['Coerce'],1
385,Israel-Lebanon gas field deal staves off war threat.,<triplet> Israel <subj> Lebanon <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
386,"They Israel-Lebanon gas field deal an historic agreement on gas fields, ending a dispute which risked triggering a conflict.",<triplet> Israel <subj> Lebanon <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
388,Poland demolishes Soviet-era monuments.,<triplet> Poland <subj> Soviet-era monuments <obj> Disapprove,['Disapprove'],1
389,Soviet-era monuments were torn down in response to a law that prohibits totalitarian regimes.,<triplet> law <subj> totalitarian regimes <obj> Disapprove,['Disapprove'],1
390,"Elon Musk takes control of Twitter, fires top executives including CEO.",<triplet> Elon Musk <subj> CEO <obj> Reduce Relations,['Reduce Relations'],1
391,Elon Musk took control of Twitter and fired Twitter's top executives late Thursday in a deal that puts Twitter in the hands of Elon Musk.,<triplet> Elon Musk <subj> Twitter's top executives <obj> Reduce Relations,['Reduce Relations'],1
392,Biden says Putin's talk of nuclear weapons use in Ukraine is 'dangerous'.,<triplet> Biden <subj> Putin <obj> Make Public Statement <triplet> Putin <subj> Ukraine <obj> Threaten,"['Make Public Statement', 'Threaten']",2
393,Biden expressed skepticism on Thursday about Putin's's comment that Putin's had no intention of using a nuclear weapon in Ukraine.,<triplet> Biden <subj> Putin <obj> Disapprove <triplet> Putin <subj> Putin <obj> Make Public Statement <triplet> Putin <subj> Ukraine <obj> Make Public Statement,"['Disapprove', 'Make Public Statement', 'Make Public Statement']",3
394,"Putin's, in a speech earlier in Thursday, played down a nuclear standoff with the West, insisting that Russia had not threatened to use nuclear weapons and had only responded to nuclear ""blackmail"" from Western leaders.",<triplet> Putin <subj> the West <obj> Make Public Statement <triplet> Russia <subj> Western leaders <obj> Disapprove,"['Make Public Statement', 'Disapprove']",2
395,Israel and Lebanon sign ‘historic’ US-brokered maritime border deal.,<triplet> Israel <subj> Lebanon <obj> Engage In Diplomatic Cooperation <triplet> US-brokered <subj> Israel <obj> Consult <triplet> US-brokered <subj> Lebanon <obj> Consult,"['Engage In Diplomatic Cooperation', 'Consult', 'Consult']",3
396,Israel and Lebanon Thursday separately signed a US-brokered maritime border deal which paves the way for lucrative offshore gas extraction by Israel and Lebanon.,<triplet> Israel <subj> Lebanon <obj> Engage In Diplomatic Cooperation <triplet> US-brokered <subj> Israel <obj> Consult <triplet> US-brokered <subj> Lebanon <obj> Consult,"['Engage In Diplomatic Cooperation', 'Consult', 'Consult']",3
397,Ukrainian counter-offensive in Kherson: On the front line with an artillery unit.,<triplet> Ukrainian <subj> Kherson <obj> Fight,['Fight'],1
398,"Military intelligence has just located several targets with the help of drones hovering above, and Russian tanks and trenches are now in an artillery unit's line of sight.",<triplet> Military intelligence <subj> several targets <obj> Investigate,['Investigate'],1
399, Kyiv has deployed thousands of soldiers to the Kherson region in hopes of reclaiming the Kherson region before the onset of winter.,<triplet>  Kyi <subj>  Kherson regio <obj> Exhibit Military Posture,['Exhibit Military Posture'],1
400,UNESCO is using satellite images in an effort to keep track of the destruction of Ukraine's cultural heritage following the Russian invasion.,<triplet> Russian <subj> Ukraine <obj> Fight <triplet> UNESCO <subj> Ukraine <obj> Investigate,"['Fight', 'Investigate']",2
401,"Ukraine is apparently in the process of developing a so-called dirty bomb – a bomb containing radioactive elements – or, at least, that’s the narrative that Moscow has been peddling since October 23, 2022.",<triplet> Moscow <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
402,US to push for multinational Haiti intervention force in Canada talks.,<triplet> US <subj> Canada <obj> Consult <triplet> US <subj> Haiti <obj> Express Intend to Cooperate,"['Consult', 'Express Intend to Cooperate']",2
403,"US Secretary of State Antony Blinken heads Thursday to Canada for talks expected to focus on Haiti, with an American official voicing hope for progress on setting up an intervention force to address Haiti's spiralling security and health crises.",<triplet> US Secretary of State Antony Blinken <subj> Canada <obj> Consult <triplet> American official <subj> Haiti <obj> Make Public Statement <triplet> US Secretary of State Antony Blinken <subj> Haiti <obj> Make Public Statement,"['Consult', 'Make Public Statement', 'Make Public Statement']",3
404,US blames Russia's Wagner Group for worsening security in Mali.,<triplet> US <subj> Russia's Wagner Group <obj> Disapprove,['Disapprove'],1
405,"Mali's security situation has become ""significantly worse"" due to the ruling junta's choices, including an alleged decision to partner with Russia's Wagner Group, a senior US official said Wednesday.",<triplet> junta <subj> Russia's Wagner Group <obj> Engage In Material Cooperation <triplet> a senior US official <subj> Mali <obj> Make Public Statement <triplet> a senior US official <subj> Russia's Wagner Group <obj> Make Public Statement,"['Engage In Material Cooperation', 'Make Public Statement', 'Make Public Statement']",3
406,"Putin’s speech at Valdai club to be studied closely by West, US expert believes.",<triplet> Putin <subj> Valdai club <obj> Consult <triplet> West <subj> Putin <obj> Investigate <triplet> US expert <subj> Putin <obj> Make Public Statement <triplet> US expert <subj> West <obj> Make Public Statement,"['Consult', 'Investigate', 'Make Public Statement', 'Make Public Statement']",4
407,US to send additional military aid to Ukraine soon —,<triplet> US <subj> Ukraine <obj> Provide Aid,['Provide Aid'],1
408,"The Associated Press news agency reported earlier in the day White House had approved another package of military aid to Ukraine, worth $275 million",<triplet> The Associated Press news agency <subj> White House <obj> Make Public Statement <triplet> The Associated Press news agency <subj> Ukraine <obj> Make Public Statement <triplet> White House <subj> Ukraine <obj> Provide Aid,"['Make Public Statement', 'Make Public Statement', 'Provide Aid']",3
409,US committed to arms control dialogue with Russia — diplomat.,<triplet> US <subj> Russia <obj> Express Intend to Cooperate,['Express Intend to Cooperate'],1
410,"The Treaty between US and Russia on Measures for the Further Reduction and Limitation of Strategic Offensive Arms (the New START Treaty) was signed in 2010 and entered into force on February 5, 2011",<triplet> US <subj> Russia <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
411,"Russia, US looking at dates of meeting on resumption of New START inspections —",<triplet> Russia <subj> US <obj> Express Intend to Cooperate,['Express Intend to Cooperate'],1
412,diplomat. Bonnie Jenkins confirmed that Russia continued to observe the treaty and was notifying Washington regularly about that,<triplet> Bonnie Jenkins <subj> Russia <obj> Make Public Statement <triplet> Russia <subj> Washington <obj> Engage In Diplomatic Cooperation,"['Make Public Statement', 'Engage In Diplomatic Cooperation']",2
413,Biden has no plans of meeting with Putin during G20 summit — Blinken.,<triplet> Biden <subj> Putin <obj> Disapprove <triplet> Biden <subj> G20 summit <obj> Consult <triplet> Putin <subj> G20 summit <obj> Consult,"['Disapprove', 'Consult', 'Consult']",3
414,"So if Russia actually wants to talk and is serious about it, Russia should be talking with the Ukrainian Government, US Secretary added",<triplet> US Secretary <subj> Russia <obj> Make Public Statement <triplet> US Secretary <subj> Ukrainian Government <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
415,IAEA to continue searching for signs of undeclared nuclear activity in Ukraine — head.,<triplet> IAEA <subj> Ukraine <obj> Investigate,['Investigate'],1
416,"As soon as IAEA's verifications are completed, IAEA will assess the findings and report IAEA's conclusions in line with IAEA's standard safeguards practice, Rafael Grossi said",<triplet> Rafael Grossi <subj> IAEA <obj> Make Public Statement,['Make Public Statement'],1
417,IAEA chief sees possible signs of North Korea’s preparations for nuclear test.,<triplet> IAEA <subj> North Korea <obj> Make Public Statement <triplet> North Korea <subj> nuclear test <obj> Exhibit Military Posture,"['Make Public Statement', 'Exhibit Military Posture']",2
418,"US to the formal announcement another military aid package to Kiev, worth $275 million —",<triplet> US <subj> Kiev <obj> Provide Aid,['Provide Aid'],1
420,Republika Srpska to leave BiH if Dayton Agreement not observed — official.,<triplet> Republika Srpska <subj> BiH <obj> Threaten,['Threaten'],1
421,"Earlier, about 50,000 people participated in a rally in Banja Luka dedicated to the protection of the will of the citizens of Republika Srpska expressed at the October 2 election","<triplet> about 50,000 people <subj> Banja Luka <obj> Protest",['Protest'],1
422,Putin Rails Against ‘Western Elites’ in Speech Aimed at U.S. Conservatives.,<triplet> Putin <subj> Western Elites <obj> Disapprove,['Disapprove'],1
424,Memorials for 2 Young Women Killed in Iran Galvanize Protests.,<triplet> Iran <subj> 2 Young Women <obj> Fight <triplet> Protests <subj> Iran <obj> Protest,"['Fight', 'Protest']",2
425,"For a second day in a row, tens of thousands of demonstrators protested across Iran against Iran's authoritarian clerical rule.",<triplet> tens of thousands of demonstrators <subj> Iran's authoritarian clerical rule <obj> Protest,['Protest'],1
426,Why Russia Stole Potemkin’s Bones From Ukraine.,<triplet> Russia <subj> Ukraine <obj> Coerce,['Coerce'],1
427,Potemkin’s helped conquer Ukraine and looms large in the version of history the Kremlin uses to justify the war.,<triplet> Potemkin <subj> Ukraine <obj> Fight,['Fight'],1
428,"With Economy Reeling From Ukraine War, Egypt Secures $3 Billion I.M.F. Loan.",<triplet> I.M.F. <subj> Egypt <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
429,"The local currency had tumbled against the dollar, and food and energy prices soared in the wake of Russia’s February invasion of Ukraine, adding to the struggles of millions of Egyptians.",<triplet> Russia <subj> Ukraine <obj> Fight,['Fight'],1
430,"Israeli-Lebanese Maritime Deal Marks a Milestone, With Limitations.",<triplet> Israeli <subj> Lebanese <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
431,Europe’s Energy Crisis Is Sending Leaders to Africa for Help.,<triplet> Leaders <subj> Africa <obj> Consult,['Consult'],1
432,Leaders say Leaders hope to take advantage of an abrupt change in a long-unequal relationship.,<triplet> Leaders <subj> Leaders <obj> Make Public Statement,['Make Public Statement'],1
433,Putin Says Russia Is Battling ‘Strange’ Western Elites.,<triplet> Putin <subj> Russia <obj> Make Public Statement <triplet> Russia <subj> Western Elites <obj> Disapprove,"['Make Public Statement', 'Disapprove']",2
434,"Ahead of U.S. elections, Putin sounded like some right-wing Westerners, saying Putin's fight is not with those in the West who hold “traditional values.”",<triplet> Putin <subj> the West <obj> Make Public Statement,['Make Public Statement'],1
435,OSCE Election Observers Warn of Republican Election Deniers.,<triplet> OSCE Election Observers <subj> Republican Election Deniers <obj> Make Public Statement,['Make Public Statement'],1
436,"Attempts by candidates to discredit the integrity of the vote have “snowballed enormously” since the 2020 election, the head of the observation mission said.",<triplet> candidates <subj> vote <obj> Disapprove <triplet> head of the observation mission <subj> candidates <obj> Make Public Statement,"['Disapprove', 'Make Public Statement']",2
437,U.S. Program Aims to Keep Sensitive Weapons in Ukraine.,<triplet> U.S. Program <subj> Ukraine <obj> Provide Aid,['Provide Aid'],1
438,Somalia Asks U.S. to Step Up Drone Strikes Against Qaeda-Linked Fighters.,<triplet> Somalia <subj> U.S. <obj> Appeal,['Appeal'],1
439,"A new administration in Somalia has launched an offensive against Al Shabab, which are also facing an uprising from local militias.",<triplet> new administration in Somalia <subj> Al Shabab <obj> Fight <triplet> local militias <subj> Al Shabab <obj> Fight,"['Fight', 'Fight']",2
440,Pentagon’s Strategy Says China and Russia Pose Very Different Challenges.,<triplet> Pentagon <subj> China <obj> Make Public Statement <triplet> Pentagon <subj> Russia <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
441,U.S. Looks to Re-Evaluate Ties With Saudi Arabia Over Oil Production Cut.,<triplet> U.S. <subj> Saudi Arabia <obj> Make Public Statement,['Make Public Statement'],1
442,"Saudi leaders decided earlier this month to join Russia in leading a cartel of oil producers to announce Oil Production Cut production by two million barrels a day, which could raise prices and help Russia.",<triplet> Saudi leaders <subj> Russia <obj> Engage In Material Cooperation,['Engage In Material Cooperation'],1
443,"World faces a 2.8-degree warmer future by 2100 if countries continue with current 'action gap,' UN warns.",<triplet> UN warns <subj> World <obj> Make Public Statement <triplet> UN warns <subj> countries <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
444," The world, especially richer carbon polluting nations, remains ""far behind"" and is not doing nearly enough — nor even promising to do enough — to reach any of the global goals limiting future warming, a UN report said.",<triplet> UN report <subj> The world <obj> Make Public Statement <triplet> UN report <subj> richer carbon polluting nations <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
445,Putin downplays nuclear threat in Ukraine as tens of thousands leave Kherson.,<triplet> Putin <subj> Ukraine <obj> Make Public Statement,['Make Public Statement'],1
446, Ukrainian forces attacked Russia's hold on Kherson on Thursday while The battles also intensified in Ukraine's east.,<triplet> Ukrainian forces <subj> Russia <obj> Fight <triplet> Russia <subj> Ukraine's east <obj> Fight,"['Fight', 'Fight']",2
447,"The battles came amid reports that Moscow-appointed authorities in Kherson have abandoned Kherson, joining tens of thousands of residents who fled to other Russia's-held areas.",<triplet> Russia's-held areas <subj> tens of thousands of residents <obj> Provide Aid,['Provide Aid'],1
449," Elon Musk completed Elon Musk's $44 billion US acquisition of Twitter late on Thursday and Elon Musk's first move was to fire Twitter's top leadership, which Elon Musk accused of misleading Elon Musk over the number of spam accounts on Twitter.",<triplet> Elon Musk <subj> Twitter <obj> Disapprove <triplet> Elon Musk <subj> Twitter's top leadership <obj> Reduce Relations,"['Disapprove', 'Reduce Relations']",2
451,Kanye West kicked out of Skechers' headquarters after arriving unannounced.,<triplet> Skechers' headquarters <subj> Kanye West <obj> Coerce,['Coerce'],1
452, Kanye West was escorted out of the California headquarters of Skechers' on Wednesday after showing up unannounced.,<triplet> California headquarters of Skechers <subj> Kanye West <obj> Coerce,['Coerce'],1
453,Battle-lines drawn as ruling coalition ally presents bill to eliminate PASO primaries.,<triplet> ruling coalition ally <subj> PASO primaries <obj> Disapprove,['Disapprove'],1
454,Four lawmakers normally allied with the government make first legislative push to cancel next year’s PASO primaries; Opposition coalition vows to block move in Congress.,<triplet> Opposition coalition <subj> Congress <obj> Make Public Statement <triplet> Four lawmakers <subj> PASO primaries <obj> Disapprove <triplet> Four lawmakers <subj> the government <obj> Reduce Relations,"['Make Public Statement', 'Disapprove', 'Reduce Relations']",3
455,"‘Latin America can feed more people,’ declares top EU official.",<triplet> top EU official <subj> Latin America <obj> Make Public Statement,['Make Public Statement'],1
456,Foreign ministers from European Union and Latin American nations convene in Buenos Aires to strengthen multilateral ties.,<triplet> European Union <subj> Latin American nations <obj> Engage In Diplomatic Cooperation <triplet> European Union <subj> Buenos Aires <obj> Consult <triplet> Latin American nations <subj> Buenos Aires <obj> Consult,"['Engage In Diplomatic Cooperation', 'Consult', 'Consult']",3
457,American Chamber of Commerce hosts event bringing together top government officials with private industry leaders to discuss areas of growth and development for Argentina’s healthcare system.,<triplet> American Chamber of Commerce <subj> top government officials <obj> Consult <triplet> American Chamber of Commerce <subj> private industry leaders <obj> Consult,"['Consult', 'Consult']",2
458,"U.K.’s insisted U.K.’s Sunak was ""absolutely committed"" to supporting COP27, denying U.K.’s Sunak was downgrading the importance of tackling the climate crisis.",<triplet> U.K.’s Sunak <subj> COP27 <obj> Make Public Statement,['Make Public Statement'],1
459,"China remains Washington's ""most consequential strategic competitor for coming decades,” Defense Secretary Lloyd Austin said in a letter presenting the new defense strategy.",<triplet> Defense Secretary Lloyd Austin <subj> China <obj> Make Public Statement <triplet> Defense Secretary Lloyd Austin <subj> Washington <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
460,"The WHO said conflicts around the world, the global energy crisis and associated risks to food security were likely to worsen the situation further.",<triplet> The WHO <subj> conflicts around the world <obj> Make Public Statement,['Make Public Statement'],1
461,"Fresh lockdowns are being imposed from Wuhan, Covid's original epicenter, to China's industrial belt on the east coast.",<triplet> Wuhan <subj> China's industrial belt <obj> Coerce,['Coerce'],1
462,"Schools and dining in at restaurants in the southern manufacturing powerhouse of Guangzhou have been suspended, while targeted shutdowns in the metropolises of Beijing and Shanghai continue.",<triplet> southern manufacturing powerhouse of Guangzhou <subj> Schools <obj> Coerce <triplet> southern manufacturing powerhouse of Guangzhou <subj> restaurants <obj> Coerce,"['Coerce', 'Coerce']",2
463,Taiwan urges China to stop sabre-rattling and start talking.,<triplet> Taiwan <subj> China <obj> Appeal,['Appeal'],1
464,"China should stop China's sabre-rattling against Taiwan and maintain peace and stability, the head of Taiwan's China-policy making Mainland Affairs Council said, as China ramped up political and military pressure on the island China claimed as China's own.",<triplet> the head of Taiwan's China-policy making Mainland Affairs Council <subj> China <obj> Make Public Statement <triplet> the head of Taiwan's China-policy making Mainland Affairs Council <subj> Taiwan <obj> Make Public Statement <triplet> China <subj> the island <obj> Exhibit Military Posture <triplet> China <subj> the island <obj> Fight,"['Make Public Statement', 'Make Public Statement', 'Exhibit Military Posture', 'Fight']",4
465,"China has stepped up military activities near Taiwan since August, following a visit to Taipei by US house speaker Nancy Pelosi.",<triplet> China <subj> Taiwan <obj> Exhibit Military Posture <triplet> US house speaker Nancy Pelosi <subj> Taipei <obj> Consult,"['Exhibit Military Posture', 'Consult']",2
466,"The launch, the latest in a series of weapons tests by North Korea in recent weeks ballistic missile toward sea, Seoul says.",<triplet> North Korea <subj> sea <obj> Exhibit Military Posture <triplet> Seoul <subj> North Korea <obj> Make Public Statement,"['Exhibit Military Posture', 'Make Public Statement']",2
467,"The launch, the latest in a series of weapons tests by N Korea in recent weeks, came on the final day of South Korea's annual 12-day ""Hoguk"" field exercises, which also involved an unspecified number of US troops this year.",<triplet> US troops <subj> South Korea <obj> Engage In Material Cooperation <triplet> N Korea <subj> South Korea <obj> Exhibit Military Posture,"['Engage In Material Cooperation', 'Exhibit Military Posture']",2
468,"West says no biological weapons in Ukraine, Russia disagrees.",<triplet> West <subj> Ukraine <obj> Make Public Statement <triplet> Russia <subj> West <obj> Disapprove,"['Make Public Statement', 'Disapprove']",2
470,The vote comes at a time talks to resolve the Israel's-Palestinian conflict have long since stalled and as violence has flared again in the occupied West Bank.,<triplet> Israel's <subj> Palestinian <obj> Fight,['Fight'],1
471," In November 2018, Netanyahu's government is left hanging by a thread after Netanyahu's's defence minister Avigdor Lieberman quits.",<triplet> Netanyahu's's defence minister Avigdor Lieberman <subj> Netanyahu's government <obj> Reduce Relations,['Reduce Relations'],1
472,"In a first, ISI chief attends presser to counter Imran's anti-army tirade.",<triplet> ISI chief <subj> Imran <obj> Disapprove,['Disapprove'],1
473,"ISI chief, claimed that army chief Gen Qamar Javed Bajwa received ""a lucrative offer"" in March for an extended stint if army chief Gen Qamar Javed Bajwa helped the former PM beat the then opposition's no-confidence motion against army chief Gen Qamar Javed Bajwa. """,<triplet> ISI chief <subj> army chief Gen Qamar Javed Bajwa <obj> Make Public Statement <triplet> opposition <subj> army chief Gen Qamar Javed Bajwa <obj> Disapprove,"['Make Public Statement', 'Disapprove']",2
474,Rishi Sunak faces backlash over Suella Braverman appointment.,<triplet> Rishi Sunak <subj> Suella Braverman <obj> Engage In Diplomatic Cooperation,['Engage In Diplomatic Cooperation'],1
475,"Suella Braverman was sacked from Truss’s government on October 19, saying in Suella Braverman's resignation letter Suella Braverman had sent a draft ministerial statement regarding the government policy on migration from Suella Braverman's personal email, which Suella Braverman said was due for imminent publication but accepted was “a technical infringement of the rules”.",<triplet> Truss’s government <subj> Suella Braverman <obj> Reduce Relations,['Reduce Relations'],1
476,"King Charles plans to sideline Harry, Andrew as royal stand-ins: Reports.",<triplet> King Charles <subj> Harry <obj> Reduce Relations <triplet> King Charles <subj> Andrew <obj> Reduce Relations,"['Reduce Relations', 'Reduce Relations']",2
477,"King Charles on Thursday was reportedly planning to extend the pool of royals allowed to act for King Charles in King Charles's absence, effectively sidelining non-working royals Harry and the Duke of York.",<triplet> King Charles <subj> Harry <obj> Reduce Relations <triplet> King Charles <subj> the Duke of York <obj> Reduce Relations,"['Reduce Relations', 'Reduce Relations']",2
478,Putin claims West seeks global domination by using Ukraine.,<triplet> Putin <subj> West <obj> Make Public Statement <triplet> Putin <subj> Ukraine <obj> Make Public Statement,"['Make Public Statement', 'Make Public Statement']",2
479,"China remains the greatest security challenge for US despite Russia's's war in Ukraine, and the threat from China will determine how the US military is equipped and shaped for the future, according to a new Pentagon defense strategy.",<triplet> Russia <subj> Ukraine <obj> Fight,['Fight'],1
480,New British PM Sunak will not attend COP27 climate summit.,<triplet> New British PM Sunak <subj> COP27 climate summit <obj> Reduce Relations,['Reduce Relations'],1
481,"New British PM Sunak will not attend COP27 climate summit, New British PM Sunak's office said on Thursday, with other senior ministers going instead to allow New British PM Sunak to focus on domestic issues and a major fiscal statement.",<triplet> New British PM Sunak <subj> COP27 climate summit <obj> Reduce Relations <triplet> New British PM Sunak's office <subj> New British PM Sunak <obj> Make Public Statement <triplet> New British PM Sunak's office <subj> COP27 climate summit <obj> Make Public Statement <triplet> other senior ministers <subj> COP27 climate summit <obj> Consult,"['Reduce Relations', 'Make Public Statement', 'Make Public Statement', 'Consult']",4
