,subj,rel,obj,text
1033,the Israeli newspaper,joke,an Israeli talk show,"“His ally Bezalel Smotrich want to drive through a red light, and His ally Bezalel Smotrich want recognition,” His ally Bezalel Smotrich joked on an Israeli talk show, the Israeli newspaper Haaretz reported."
1034,a top United Nations official,reference,Iran's decision,"a top United Nations official also referenced Iran's decision to hold public trials for 1,000 people arrested in connection to the ongoing protests, noting that some of the charges carry the death penalty."
1035,Ex-Pakistan PM Khan,do,Shaukat Khanum hospital,"Ex-Pakistan PM Khan ""was stable and Ex-Pakistan PM Khan was doing fine"" at Shaukat Khanum hospital in the eastern city of Lahore, Ex-Pakistan PM Khan's doctor Faisal Sultan told AFP Friday."
1036,Ex-Pakistan PM Khan,feel,""" Seemi Bokhari","Ex-Pakistan PM Khan is feeling perfectly well, and Ex-Pakistan PM Khan will soon be discharged,"" Seemi Bokhari, a lawmaker with Khan's Pakistan Tehreek-e-Insaf (PTI) party told AFP."
1037,Ex-Pakistan PM Khan,discharge,Pakistan PM Khan,"Ex-Pakistan PM Khan is feeling perfectly well, and Ex-Pakistan PM Khan will soon be discharged,"" Seemi Bokhari, a lawmaker with Khan's Pakistan Tehreek-e-Insaf (PTI) party told AFP."
1038,AFPBenjamin NetanyahuWest,alienate,outgoing Israel's allies,"Also serving as foreign minister, US Secretary of State Antony Blinken put a priority on smooth relations with the United States, warning that AFPBenjamin NetanyahuWest had alienated outgoing Israel's allies in US President Joe Biden's Democratic Party."
1039,AFPBenjamin NetanyahuWest,work,former Republican president Donald Trump,"AFPBenjamin NetanyahuWest worked closely with former Republican president Donald Trump and had tense relations with previous Democratic president Barack Obama, rallying previous Democratic president Barack Obama's domestic critics to oppose a now-moribund 2015 nuclear accord with Iran."
1040,German Chancellor Olaf Scholz,be,Chinese President Xi Jinping,"German Chancellor Olaf Scholz told Chinese President Xi Jinping that it was good both leaders were meeting in person during tense times, with Russia’s's invasion of Ukraine creating problems for the rules-based global order, according to a Reuters reporter accompanying German Chancellor Olaf Scholz's delegation."
1041,German Chancellor Olaf Scholz,convince,China,German Chancellor Olaf Scholz was hoping China could convince Russia’s to end hostilities.
1042,Germany,miss,Germany's's own climate targets,"Based on Germany's's current efforts, the German government's new expert council for climate change says, Germany's will clearly miss Germany's's own climate targets for 2030."
1043,President Xi Jinping,cement,President Xi Jinping's grip,"The trip has sparked concern in Germany and elsewhere in Europe, after President Xi Jinping recently cemented President Xi Jinping's grip on power."
1044,German Chancellor Olaf Scholz,solve,China,"But German Chancellor Olaf Scholz, like German Chancellor Olaf Scholz's predecessor Angela Merkel, argues that global problems can only be solved through co-operation with China."
1045,President Xi Jinping,be,President Xi Jinping's desire,"There was a mutual acknowledgment that times were tough; President Xi Jinping expressed President Xi Jinping's desire to work together in ""times of change and turmoil""."
1046,German Chancellor Olaf Scholz,be,Germany's position,"German Chancellor Olaf Scholz repeated Germany's position on Taiwan - any change of the status quo must be peaceful and with mutual agreement - and on human rights - human rights must be protected, especially with regard to minorities in Xinjiang."
1047,Germany,decouple,China,"Few in Beijing would urge Germany to ""decouple"" from China."
1048,Charlotte Wiltshire,run,the BBC,"Charlotte Wiltshire told the BBC they were running out of food and water - adding there were pregnant, diabetic, elderly and sick people on a river boat."
1049,A California businessman,be,A California businessman,"But A California businessman who once advised President Donald Trump, maintained A California businessman who once advised President Donald Trump was ""A California businessman who once advised President Donald Trump's own man"" and had never agreed to act under UAE ""direction of control""."
1050,Amsterdam's mayor,uninvite,Conspiracy theorist David Icke,"Last month, Amsterdam's mayor, police and prosecutor's office asked demonstration organisers to uninvite Conspiracy theorist David Icke for Conspiracy theorist David Icke's ""anti-Semitic and hurtful statements""."
1051,the Nevada businessman,lose,Jim Marchant's race,While President Trump and I both continue to spread false theories about President Trump and I both's past defeats - the Nevada businessman lost Jim Marchant's race for Congress - Jim Marchant also made clear Jim Marchant's looking to the future.
1052,Georgia's votes,land,Biden's column,"Brad Raffensperger in Georgia resisted Donald Trump's efforts, and Georgia's votes ultimately landed in Biden's column."
1053,Jim Marchant,rig,all Nevada elections,"Jim Marchant has claimed that all Nevada elections since 2006 have been rigged, with elected officials installed by a ""deep state cabal""."
1054,The America First SOS coalition candidates've,prime,The America First SOS coalition candidates's supporters,"If The America First SOS coalition candidates are defeated, Bret Schafer, the nonpartisan expert who monitors the state of democracies around the world says, The America First SOS coalition candidates've primed The America First SOS coalition candidates's supporters to believe it can only have been because of fraud."
1055,the UN,rest,the AU,"The credibility of African Union (AU) and the international observers at the talks - the UN, the US and Igad - rests on the AU and the international observers at the talks - the UN, US and Igad's readiness to call out the violators from all sides."
1056,Wang Jingyu,live,Wang Jingyu,"Since July 2021, Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe has lived with Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe's fiancée Wu Huan in the Netherlands, where Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe received asylum."
1057,a heavily armed Dutch police commando,turn,Wang Jingyu,"In September, a heavily armed Dutch police commando suddenly turned up outside Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe's apartment door in The Hague."
1058,Hotel rooms,book,Wang Jingyu,"Similar incidents have followed: Hotel rooms have been booked under Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe's name and passport number in the Netherlands and Belgium, before these hotels then receive bomb threats, allegedly from Wang Jingyu, a 21-year-old dissident that the Chinese government has followed all the way to Europe."
1059,Digital,have,curator Anika Meier,"""Digital has had Digital's place in art for decades,"" curator Anika Meier says."
1060,Moscow-installed official Kirill Stremousov,be,Kherson,"""In Kherson there are absolutely no restrictions that would limit the life of Kherson,"" Moscow-installed official Kirill Stremousov said on Telegram, after a first message announcing a curfew on the same channel was edited out."
1061,Moscow-installed official Kirill Stremousov,write,Moscow-installed official Kirill Stremousov's latest Telegram message,"""At the moment everything is fully under the control of the military and law enforcement forces in Kherson,"" Moscow-installed official Kirill Stremousov wrote under Moscow-installed official Kirill Stremousov's latest Telegram message."
1062,Moscow-installed official Kirill Stremousov,be,Kherson,"In Kherson there are absolutely no restrictions that would limit the life of Kherson,"" Moscow-installed official Kirill Stremousov said on Telegram, after a first message announcing a curfew on Telegram was edited out."
1063,Russia,suspend,Russia's participation,"Russia suspended Russia's participation in the secure Black Sea grain corridor in late October but rejoined after four days, easing fears of further disruptions to grain exports from Ukraine at a time of rampant global food inflation."
1064,Kyiv Mayor Vitali Klitschko,write,Telegram,Kyiv Mayor Vitali Klitschko wrote on Telegram.
1065,US,prolong,officialThe G7,"11:32am: G7 calls on Russia to extend grain deal, says US officialThe G7 has urged Russia to prolong a deal allowing safe passage of grain shipments from Ukraine at a meeting in western Germany, a senior US State Department official said on Friday."
1066,China,point,China,"""On Ukraine, China “pointed out that China supports Germany's and the EU in playing an important role in promoting peace talks and promoting the building of a balanced, effective and sustainable European security framework"", state broadcaster CCTV reportedThe international community should “call on all parties concerned to exercise rationality and restraint, conduct direct contacts as soon as possible, and create conditions for the resumption of negotiations (and) jointly oppose the use or threat of use of nuclear weapons"", China said."
1067,Germany's Scholz“At,be,Chinese President Xi Jinping,"""Germany's Scholz“At told Chinese President Xi Jinping that it is important for China to use China's influence on Russia,"" Germany's Scholz“At said."
1068,Christians's faith,practice,Christians,"Download the France 24 app</Text></Article><Article url=""https://www.france24.com/en/middle-east/20221104-wars-have-driven-world-to-precipice-pope-warns-on-bahrain-trip"" paper=""f24""><Text>AdvertisingRead moreFrancis his speech on AdvertisingRead moreFrancis's first full day in Bahrain as AdvertisingRead moreFrancis closed a forum on East-West dialogue promoted by the king of the Gulf country where, unlike Saudi Arabia, Christians are allowed to practice Christians's faith publicly in churches."
1069,the France,download,the-51/20221104,"Download the France 24 app</Text></Article><Article url=""https://www.france24.com/en/tv-shows/the-51/20221104-abortion-rights-and-the-us-midterms-will-they-reshape-the-political-landscape"" paper=""f24""><Text>AdvertisingKentucky, as part of the midterms, is also asking AdvertisingKentucky's voters to decide whether its voters's state constitution should explicitly the ban the right to abortion."
1070,the France,download,the-51/20221104,"Download the France 24 app</Text></Article><Article url=""https://www.france24.com/en/tv-shows/the-51/20221104-abortion-rights-and-the-us-midterms-will-they-reshape-the-political-landscape"" paper=""f24""><Text>AdvertisingKentucky, as part of the midterms, is also asking AdvertisingKentucky's voters to decide whether its voters's state constitution should explicitly the ban the right to abortion."
1071,California,split,this highly polarising issue?Daily newsletterReceive essential international news,Will California split apart over this highly polarising issue?Daily newsletterReceive essential international news every morningSubscribe Take international news everywhere with you!
1072,neo-Nazi sympathiser James Fields,ram,neo-Nazi sympathiser James Fields's car,"Clashes broke out between the two groups, culminating in tragedy when neo-Nazi sympathiser James Fields rammed neo-Nazi sympathiser James Fields's car into Counter-demonstrators made up of local residents, students and anti-racist groups, killing 32-year-old Heather Heyer and injuring 35 others."
1073,President Alexander Lukashenko,participate,Belarus,President Alexander Lukashenko has repeatedly said that Belarus participates in Russia’s special military operation in Ukraine.
1074,Russia,ferry,Russia's controls,"Russia's has already been ferrying people out of an area Russia's controls in Ukraine's southern Kherson region on the west bank of the Dnipro River, and this week announced that the zone of the most dangerous actions would also include a 15-kilometre buffer area on the east bank."
1075,Ukrainian forces,down,Ukrainian President Volodymyr Zelenskyy,"During the day, Ukrainian forces had downed eight Iranian drones and two Russian missiles, Ukrainian President Volodymyr Zelenskyy said."
1076,S.  Defence Secretary Lloyd Austin,retake,Ukrainian forces,"S.  Defence Secretary Lloyd Austin said S.  Defence Secretary Lloyd Austin ""certainly"" believed Ukrainian forces could retake the Russian-held area on the west bank of the Dnipro River, in perhaps S.  Defence Secretary Lloyd Austin's most optimistic comments on the counter-offensive to date."
1077,S.  Defence Secretary Lloyd Austin,retake,Ukrainian forces,"S.  Defence Secretary Lloyd Austin said S.  Defence Secretary Lloyd Austin ""certainly"" believed Ukrainian forces could retake the Russian-held area on the west bank of the Dnipro River, in perhaps S.  Defence Secretary Lloyd Austin's most optimistic comments on the counter-offensive to date."
1078,Russia,suspend,Russia's's participation,"Russia's had suspended Russia's's participation in a wartime agreement brokered by the United Nations and Turkey allowing Ukrainian grain to be shipped to world markets through the Black Sea over the weekend, citing an alleged drone attack against Russia's's the Black Sea fleet in Crimea."
1079,North Korea,dial,North Korea's's testing activity,"After already setting an annual record with dozens of ballistic missile launches in 2022, North Korea's has further dialled up North Korea's's testing activity since late September, including what North Korea's described as simulated nuclear attacks on South Korean and U. S.  targets."
1080,North Korea,mean,North Korea's's tests,North Korea's has said North Korea's's tests are meant as a warning against the United States's military drills with allies South Korea and Japan.
1081,North Korea's fires,respond,South Korea,"North Korea's fires record number of missiles in a single day, South Korea responds with show of forceIn response to North Korea's's increased weapons tests and growing nuclear threat, the United States  and South Korea this year have resumed the United States and South Korea's large-scale military exercises that were downsized or suspended in previous years to support the Trump administration's diplomatic efforts with North Korea's and because of the pandemic."
1082,Juan Borús,be,Diálogo Chino,"Juan Borús of the National Water Institute (INA) told Diálogo Chino that “the context is so extraordinary that drawing quick conclusions is too hasty, so it is best to wait for the situation to pass before making an in-depth analysis. ”"
1083,Kyiv Mayor Vitali Klitschko,write,Telegram,Kyiv Mayor Vitali Klitschko wrote on Telegram.
1084,Ukraine's southern military spokeswoman,disguise,Natalia Humeniuk,"Ukraine's southern military spokeswoman, Natalia Humeniuk told Ukrainian television that some Russian military personnel are disguising some Russian military personnel as civilians."
1085,Moscow,suspend,Moscow's participation,"Moscow had suspended Moscow's participation in a wartime agreement brokered by the United Nations and Turkey allowing Ukrainian grain to be shipped to world markets over the weekend, citing an alleged drone attack against Moscow's Black Sea fleet in Crimea."
1086,Iran,reconstitute,Iran's nuclear program,"Iran's fear was that a future administration might pull out of a deal, as the Trump administration did in 2018, so Iran sought a side deal with Russia’s that would allow Iran to reconstitute Iran's nuclear program quickly if necessary."
1087,The US Special Envoy,focus,the US,"Instead, the US is now focused on areas the US can be “useful,” The US Special Envoy for Iran, Rob Malley, said, like supporting protesters in Iran and looking for ways to stop Iranian weapons transfers to Russia’s."
1088,Elon Musk,post,Elon Musk,"Elon Musk, the new owner of Twitter, posted Elon Musk, the new owner of Twitter,'s own comments, saying Elon Musk, the new owner of Twitter, was presented ""no choice"" over what Elon Musk, the new owner of Twitter, called Twitter's ""reduction in force"", as Twitter was losing $4m (£3."
1089,Charlotte Wiltshire,run,the BBC,"Charlotte Wiltshire told the BBC they were running out of food and water - adding there were pregnant, diabetic, elderly and sick people on a river boat."
1090,Gregoire de Fournas,shout,Gregoire de Fournas,"Gregoire de Fournas, a newly elected member of the far-right, anti-immigration National Rally (RN), claimed Gregoire de Fournas, a newly elected member of the far-right, anti-immigration National Rally (RN) shouted, ""They should go back to Africa!"""
1091,Stéphane Ravacley,stir,France,"Stéphane Ravacley, a baker in the eastern French town of Besançon, and his apprentice, Laye Fodé Traoréiné, a young man of Guinean origin's story created a media stir in France when Stéphane Ravacley, a baker in the eastern French town of Besançon went on a hunger strike in January 2021 to demand the legalisation of Stéphane Ravacley, a baker in the eastern French town of Besançon's apprentice, who was subject to an explusion order when his apprentice, who was subject to an explusion order when he, as a teenaged undocumented immigrant, turned 18, as a teenaged undocumented immigrant, turned 18."
1092,Stéphane Ravacley,hospitalise,Stéphane Ravacley,"Stéphane Ravacley, a baker in the eastern French town of Besançon, had to be hospitalised during Stéphane Ravacley, a baker in the eastern French town of Besançon's hunger strike."
1093,Moscow-installed official Kirill Stremousov,be,Kherson,"""In Kherson there are absolutely no restrictions that would limit the life of Kherson,"" Moscow-installed official Kirill Stremousov said on Telegram, after a first message announcing a curfew on the same channel was edited out."
1094,Moscow-installed official Kirill Stremousov,write,Moscow-installed official Kirill Stremousov's latest Telegram message,"""At the moment everything is fully under the control of the military and law enforcement forces in Kherson,"" Moscow-installed official Kirill Stremousov wrote under Moscow-installed official Kirill Stremousov's latest Telegram message."
1095,Moscow-installed official Kirill Stremousov,be,Kherson,"In Kherson there are absolutely no restrictions that would limit the life of Kherson,"" Moscow-installed official Kirill Stremousov said on Telegram, after a first message announcing a curfew on Telegram was edited out."
1096,Russia,suspend,Russia's participation,"Russia suspended Russia's participation in the secure Black Sea grain corridor in late October but rejoined after four days, easing fears of further disruptions to grain exports from Ukraine at a time of rampant global food inflation."
1097,Kyiv Mayor Vitali Klitschko,write,Telegram,Kyiv Mayor Vitali Klitschko wrote on Telegram.
1098,US,prolong,officialThe G7,"11:32am: G7 calls on Russia to extend grain deal, says US officialThe G7 has urged Russia to prolong a deal allowing safe passage of grain shipments from Ukraine at a meeting in western Germany, a senior US State Department official said on Friday."
1099,China,point,China,"""On Ukraine, China “pointed out that China supports Germany's and the EU in playing an important role in promoting peace talks and promoting the building of a balanced, effective and sustainable European security framework"", state broadcaster CCTV reportedThe international community should “call on all parties concerned to exercise rationality and restraint, conduct direct contacts as soon as possible, and create conditions for the resumption of negotiations (and) jointly oppose the use or threat of use of nuclear weapons"", China said."
1100,Germany's Scholz“At,be,Chinese President Xi Jinping,"""Germany's Scholz“At told Chinese President Xi Jinping that it is important for China to use China's influence on Russia,"" Germany's Scholz“At said."
1101,neo-Nazi sympathiser James Fields,ram,neo-Nazi sympathiser James Fields's car,"Clashes broke out between the two groups, culminating in tragedy when neo-Nazi sympathiser James Fields rammed neo-Nazi sympathiser James Fields's car into Counter-demonstrators made up of local residents, students and anti-racist groups, killing 32-year-old Heather Heyer and injuring 35 others."
1102,the France,download,"paper=""tass""><Text>KIEV","Download the France 24 app</Text></Article><Article url=""https://tass.com/world/1532619"" paper=""tass""><Text>KIEV, November 5."
1103,Western countries,intensify,Kiev,"Apart from that, Western countries intensified weapons supplies to Kiev."
1104,The Russian defense ministry,suspend,Russia,"The Russian defense ministry said on October 29 that following a terror attack committed by the Kiev regime ""with participation of specialists from the United Kingdom"" against Russian Black Sea Fleet ships and civilian vessels engaged to ensure security of the grain corridor, ""Russia is suspending Russia's participation in the implementation of agreements on the export of food from Ukrainian ports. """
1105,Western countries,intensify,Russia,"Apart from that, Western countries intensified weapons supplies to Russia."
1106,Russia,list,the Ukrainian facilities,"In particular, Russia’s listed the Ukrainian facilities where such activities might be taking place."
1107,the Bahraini embassy,be,TASS,"King Hamad bin Isa Al Khalifa is ready to act as an intermediary between Russia and Ukraine, the Bahraini embassy in MOSCOW told TASS on Friday."
1108,Russia,ferry,Russia's controls,"Russia's has already been ferrying people out of an area Russia's controls in Ukraine's southern Kherson region on the west bank of the Dnipro River, and this week announced that the zone of the most dangerous actions would also include a 15-kilometre buffer area on the east bank."
1109,Ukrainian forces,down,Ukrainian President Volodymyr Zelenskyy,"During the day, Ukrainian forces had downed eight Iranian drones and two Russian missiles, Ukrainian President Volodymyr Zelenskyy said."
1110,S.  Defence Secretary Lloyd Austin,retake,Ukrainian forces,"S.  Defence Secretary Lloyd Austin said S.  Defence Secretary Lloyd Austin ""certainly"" believed Ukrainian forces could retake the Russian-held area on the west bank of the Dnipro River, in perhaps S.  Defence Secretary Lloyd Austin's most optimistic comments on the counter-offensive to date."
1111,S.  Defence Secretary Lloyd Austin,retake,Ukrainian forces,"S.  Defence Secretary Lloyd Austin said S.  Defence Secretary Lloyd Austin ""certainly"" believed Ukrainian forces could retake the Russian-held area on the west bank of the Dnipro River, in perhaps S.  Defence Secretary Lloyd Austin's most optimistic comments on the counter-offensive to date."
1112,Russia,suspend,Russia's's participation,"Russia's had suspended Russia's's participation in a wartime agreement brokered by the United Nations and Turkey allowing Ukrainian grain to be shipped to world markets through the Black Sea over the weekend, citing an alleged drone attack against Russia's's the Black Sea fleet in Crimea."
1113,Pakistan's former prime minister,pause,Friday Pakistan's former prime minister,"Pakistan's former prime minister Imran Khan said Friday Pakistan's former prime minister Imran Khan was pausing Pakistan's former prime minister Imran Khan's march on the capital of Islamabad a day after a gunman the attack fire on Pakistan's former prime minister Imran Khan's campaign convoy, wounding Pakistan's former prime minister Imran Khan and killing one of Pakistan's former prime minister Imran Khan's supporters."
1114,Gilbert Rossier,motivate,Gilbert Rossier,"For Gilbert Rossier — a supporter of XR's German chapter, the urgency of change motivates Gilbert Rossier — a supporter of XR's German chapter's activities, in spite of the potential setbacks to Gilbert Rossier — a supporter of XR's German chapter's life."
1115,Giordano Cioni,choose,host Tamara Khandaker,"Giordano Cioni, a member of an Extinction Rebellion (XR), told host Tamara Khandaker that some members choose not to engage with potentially illegal protests as some members are more vulnerable in the eyes of the law."
1116,Twitter,lose,$4 million US,"Social media experts weigh inOn Friday evening, new owner Elon Musk tweeted that there was ""no choice"" but to make layoffs, claiming Twitter was losing $4 million US a day."
1117,Flamengo,reclaim,the Copa Libertadores,"And there were also title celebrations in Brazil: to the surprise of few, Flamengo reclaimed the Copa Libertadores over Athletico Paranaense in last Saturday's final."
1118,Facundo Sava,beam,the Copa Argentina triumph,"a new Copa Argentina holder, the first-ever Argentine champion to come from outside Buenos Aires and Santa Fe took risks,” Facundo Sava's beamed after the Copa Argentina triumph."
1119,ALBERTO,accompany,Alberto Fernández,ALBERTO IN BRAZILPresidente Alberto Fernández was accompanied by Foreign Minister Santiago Cafiero and Argentine Ambassador to BRAZILPresidente Daniel Scioli.
1120,"Buenos Aires City Mayor Horacio Rodríguez Larreta, PRO chair Patricia Bullich",peg,por el Cambio,"IN YOUR FACEAlready on frosty terms with Buenos Aires City Mayor Horacio Rodríguez Larreta, PRO chair Patricia Bullich pegged up Juntos por el Cambio opposition infighting a further notch last weekend when PRO chair Patricia Bullich told City Cabinet Chief Felipe Miguel that PRO chair Patricia Bullich would “smash City Cabinet Chief Felipe Miguel's face in” for calling City Cabinet Chief Felipe Miguel “functional to Kirchnerism. ”"
1121,"Buenos Aires City Mayor Horacio Rodríguez Larreta, PRO chair Patricia Bullich",peg,por el Cambio,"IN YOUR FACEAlready on frosty terms with Buenos Aires City Mayor Horacio Rodríguez Larreta, PRO chair Patricia Bullich pegged up Juntos por el Cambio opposition infighting a further notch last weekend when PRO chair Patricia Bullich told City Cabinet Chief Felipe Miguel that PRO chair Patricia Bullich would “smash City Cabinet Chief Felipe Miguel's face in” for calling City Cabinet Chief Felipe Miguel “functional to Kirchnerism. ”"
1122,A Kremlin-installed official,be,Russian media,"A Kremlin-installed official in the region, Kirill Stremousov, told Russian media that Moscow was ""likely"" to pull Moscow's troops from the region."
1123,the Russian army,switch,Russian-occupied Kherson,"Civilians were first urged to leave Russian-occupied Kherson in southern Ukraine in the middle of last month, as the Russian army switched Russian-occupied Kherson in southern Ukraine to defensive mode."
1124,August Oleksandr,post,Telegram,"Oleksandr, a Ukrainian soldier currently fighting on the front line in eastern Ukraine, recalls how in August Oleksandr, a Ukrainian soldier currently fighting on the front line in eastern Ukraine discovered that a video of Oleksandr, a Ukrainian soldier currently fighting on the front line in eastern Ukraine's battalion destroying a Russian armoured vehicle was posted on Telegram, alongside Oleksandr, a Ukrainian soldier currently fighting on the front line in eastern Ukraine's date of birth, phone number and email address."
1125,Oleksandr,live,Nova Kakhovka,"The post was published in a pro-Kremlin channel called ""Work, brothers"", and said that Oleksandr, a Ukrainian soldier currently fighting on the front line in eastern Ukraine's family was living in Nova Kakhovka, a town in the Kherson region, which is occupied by Russian troops."
1126,Olesya Orlenko,have,Olesya Orlenko,"Olesya Orlenko, 41, from Moscow denied Olesya Orlenko, 41, from Moscow had anything to do with the sharing of soldiers' personal details."
1127,Viktor,post,Telegram,"Earlier this year, Viktor, another Ukrainian soldier who had previously experienced harassment online for being an LGBT+ activist's personal details and pictures were again posted on Telegram."
1128,-President Park Geun-hye,unseat,-President Park Geun-hye's perceived failure,"The investigation was highly politicised, with then-President Park Geun-hye eventually being unseated, in part because of then-President Park Geun-hye's perceived failure to respond adequately to the horrific event on the night of 29 October, when the little alley became a death trap."
1129,a Korean citizen,feel,a Korean citizen,""" Another person on YouTube wrote: ""As a Korean citizen in a Korean citizen in his 20s's 20s, a Korean citizen in his 20s really feel that a Korean citizen in his 20s's country won't protect a Korean citizen in his 20s."
1130,South Korea,have,South Korea's share,The belief that safety in South Korea is sacrificed at the altar of the country's headlong economic growth has been expressed after every big disaster - and South Korea has certainly had South Korea's share of them - and elicited promises that official attitudes to safety will change.
1131,President Yoon Suk-yeol,test,President Yoon Suk-yeol's government,"As public anger builds, President Yoon Suk-yeol will find President Yoon Suk-yeol's government being tested and challenged over a promise."
1132,Tony Vinyoh,accompany,Tony Vinyoh's uncle,"When Tony Vinyoh accompanied Tony Vinyoh's uncle and my uncle's daughter in 2016 to check his daughter's medical school entrance results, Tony Vinyoh knew his daughter would not make it."
1133,the Strana portal,rock,the Donetsk People’s Republic,"An explosion rocked an ammunition depot in the KIEV town of Krasnoarmeisk in the Donetsk People’s Republic, the Strana portal reported on Saturday."
1134,Nike,suspend,Nike's relationship,"Nike has suspended Nike's relationship with Kyrie Irving and cancelled Nike's plans to release Kyrie Irving's next signature shoe, the latest chapter in the ongoing fallout since the Brooklyn Nets guard the tweet a link to a film containing antisemitic material."
1135,Kyrie Irving,suspend,Kyrie Irving,"Later on Thursday, a few hours after Kyrie Irving was suspended for at least five games, Kyrie Irving posted an apology on Instagram for not explaining the specific beliefs Kyrie Irving agreed and disagreed with when Kyrie Irving posted a film containing antisemitic material."
1136,Kyrie Irving,"com/9u1y2j2jbw&lt;/a&gt;&amp;mdash;@shamscharania""to",All Jewish families,"com/9u1Y2j2jBw&lt;/a&gt;&amp;mdash;@ShamsCharania""To All Jewish families and Communities that are hurt and affected from Kyrie Irving's post, Kyrie Irving am deeply sorry to have caused All Jewish families and Communities that are hurt and affected from my post pain, and Kyrie Irving apologize,"" Kyrie Irving wrote."
1137,Adidas,result,about $250 million US,"Adidas was forced to part ways with Ye — the rapper formerly known as Kanye West — late last month, a move Adidas said would result in about $250 million US in losses this year after stopping production of Adidas's line of Yeezy products as well as halting payments to Ye — the rapper formerly known as Kanye West and Ye — the rapper formerly known as Kanye West's companies."
1138,hateThe Brooklyn Nets,play,Washington,"OpinionIf only NBA star Kyrie Irving was willing to learn from scholars, rather than AmazonNets' Irving takes responsibility for tweet, will donate $500K US to organizations working to eradicate hateThe Brooklyn Nets played at Washington on Friday night, winning The 42-point win without Kyrie Irving."
1139,Republican lawmakers,override,Republican Gov.  Asa Hutchinson's veto,"Follows bans in Arkansas, AlabamaArkansas was the first state to enact such a ban on gender-affirming care, with Republican lawmakers in 2021 overriding Republican Gov.  Asa Hutchinson's veto of the legislation."
1140,Park Tae-hoon,be,AFP,"""It was only yesterday that President Yoon Suk-yeol's apologised,"" Park Tae-hoon, 29, one of the organisers of that rally and a member of the progressive Jinbo political party told AFP, adding that the purpose of the march was to demand punishment for those responsible and measures to prevent a recurrence of the tragedy."
1141,Security Council,justify,North Korea's repeated violations,"While addressing the United Nations Security Council, the US envoy to the US Ambassador to the United Nation, Linda Thomas-Greenfield said, ""Security Council have bent over backwards to justify North Korea's repeated violations""."
1142,German Chancellor Olaf Scholz,prevail,Chinese President Xi Jinping,"In the first visit by a G7 leader to China since the pandemic, German Chancellor Olaf Scholz pressed Chinese President Xi Jinping to prevail on Russia to end the war in Ukraine, saying China had a responsibility as a major power to do so."
1143,German Chancellor Olaf Scholz,prevail,Chinese President Xi Jinping,"In the first visit by a G7 leader to China since the pandemic, German Chancellor Olaf Scholz pressed Chinese President Xi Jinping to prevail on Russia to end the war in Ukraine, saying China had a responsibility as a major power to do so."
1144,German Chancellor Olaf Scholz,be,Chinese President Xi Jinping,"German Chancellor Olaf Scholz added: “German Chancellor Olaf Scholz have told Chinese President Xi Jinping it is important, that China uses China's influence on Russia.  ”"
1145,Germany’s BioNTech,become,the first nonChinese drug manufacturer,German Chancellor Olaf Scholz complained about access to the Chinese market while touting a breakthrough deal to allow Germany’s BioNTech to become the first nonChinese drug manufacturer to sell Germany’s BioNTech's Covid vaccine to expatriates in China.
1146,Elon Musk,’,Elon Musk’s's tweet,"In Elon Musk’s's tweet about Twitter's faltering revenue, Elon Musk’s a claim that civil rights groups denied that “nothing has changed with content moderation and we did everything we could to appease the activists” — a claim that civil rights groups denied."
1147,Elon Musk,post,Elon Musk’s's comment,"A minute before Elon Musk’s posted Elon Musk’s's comment, ad-tracking platform MediaRadar released statistics showing that the number of advertisers on Twitter had dropped from May, soon after Elon Musk’s's bid for Twitter was announced, through September, when Elon Musk’s was still fighting to get out of the deal Elon Musk’s struck to buy Twitter in April."
1148,Ukrainian military medic Mariana Mamonova's battalion,station,the Illich steel plant,"Ukrainian military medic Mariana Mamonova's battalion was stationed at the Illich steel plant - one of Mariupol, south-east Ukraine's last Ukrainian holdouts."
1149,Ukrainian military medic Mariana Mamonova,live,Ukrainian military medic,Two possibilities emerged; either Ukrainian military medic Mariana Mamonova would be sent to a prison in Donetsk where Ukrainian military medic Mariana Mamonova could live with Ukrainian military medic Mariana Mamonova's baby for as long as Ukrainian military medic Mariana Mamonova was breastfeeding.
1150,Ukrainian military medic Mariana Mamonova,be,the Russian soldiers,Ukrainian military medic Mariana Mamonova told the Russian soldiers guarding Mariana 'Ukrainian military medic Mariana Mamonova won't be able to get this bottle in' and 'Ukrainian military medic Mariana Mamonova'm in pain'.
1151,President Yoon Suk-yeol,write,Facebook,"""Thank you and thank you again for coming back safely from the crossroads of life and death,"" President Yoon Suk-yeol wrote on Facebook."
1152,The Kenyan contingent,station,Goma,The Kenyan contingent will be stationed near Goma in North Kivu and will command the East African Community Regional Force.
1153,Burundian troops,concentrate,South Sudan,"Burundian troops will concentrate in South Sudan, where Burundian troops will battle the Tabara milita."
1154,Rwanda,destabilise,eastern DR Congo,"President Félix Tshisekedi says that Rwanda wants to destabilise eastern DR Congo because Rwanda wants to appropriate Rwanda's minerals, but Rwanda has denied any role in one of the world's longest and deadliest conflicts's unrest."
